tools,count
Python,287
English,102
Sql,93
AWS,85
Docker,76
Django,68
Postgres,68
CD,59
API,57
Javascript,55
Computer Science,54
Kubernetes,46
GIT,44
FAST API,42
NoSQL,41
Fast,39
Flask,39
RESTful,38
React,33
CSS,32
Mongo,32
Engineer,31
Redis,30
Kafka,30
GC,29
Linux,29
Typescript,27
Celery,26
MySql,26
Node,25
HTML,25
Java,25
Elastic,23
Azure,22
DevOps,22
ETL,21
Agile,21
RestAPI,18
Gitlab,18
OOP,18
Upper-Intermediate,18
Data Engineer,17
RabbitMQ,17
Panda,17
Software Engineer,16
TensorFlow,16
ML,15
Bash,15
GoLang,15
Mathematics,15
GraphQL,15
Angular,15
Terraform,15
Experience,15
Spark,15
Intermediate,15
PyTorch,14
Jenkins,14
BigQuery,14
DRF,14
QA,14
Vue,14
DB,13
Data,13
Lambda,13
UI,13
PHP,13
Web,13
DynamoDB,13
Airflow,13
API Gateway,12
Tableau,12
Develop,12
Team Lead,11
Cloud,11
SQLAlchemy,11
NLP,10
Google Cloud,10
PowerBI,10
IAC,10
Cloudformation,10
Selenium,10
NUMPY,10
ORM,9
Unix,9
UX,9
Pytest,9
ClickHouse,9
LLM,9
Learning,8
ANSI,8
REST,8
C Developer,8
Jira,8
HTTP,8
Databricks,8
R,8
CV,8
IP,8
SCRUM,7
JS,7
Grafana,7
AWS Lambda,7
Dataforest,7
TCP,7
Laravel,7
MS,7
RDS,7
Snowflake,7
Firebase,7
SDLC,7
Hadoop,7
Design,7
Bachelor,6
Unit,6
WebSocket,6
Prometheus,6
Scala,6
Computer,6
SaaS,6
Amazon Web Services,6
GitHub Actions,6
ELT,6
Cloudwatch,6
Machine Learning,6
Statistics,6
Bootstrap,6
Apache Kafka,6
PySpark,6
SS,6
Back-End Software Engineer,6
Description,6
Apache Spark,6
Skills,6
Full-Stack,5
Data Analyst,5
Analyst,5
BDD,5
Software,5
JSON,5
Optional,5
B,5
Hive,5
TDD,5
JQuery,5
Code,5
Data Science,5
Atlassian,5
GoogleAppEngine,5
Firestore,5
AsyncIO,5
Customer,5
Athena,5
Django Rest Framework,5
Docker Compose,5
Houston,5
REST Framework,5
Server,5
Powershell,5
Fullstack Developer,5
Pub,5
Infrastructure,5
Talend,4
Yarn,4
QA Automation Engineer,4
Github,4
EKS,4
SOLID,4
Familiar,4
Swagger,4
Impala,4
Selenium WebDriver,4
Bitbucket,4
IAM,4
CNNs,4
CUDA,4
Querying,4
DevOps Engineer,4
SQS,4
Master,4
Web UI,4
Artificial Intelligence,4
ELK,4
Cypress,4
Azure DevOps,4
Proficient,4
Knowledge,4
Databases,4
Cassandra,4
Visualization,4
Playwright,4
Automation,4
RTP,4
Cloud Composer,4
UNIX Shell,4
Apache Hadoop,4
Data Reporting,4
Confluence,4
Oracle,3
Jupyter,3
SQL DB,3
