contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
['full-time'],['hybrid work'],['mid'],Kraków,,,"['Python', 'C#', 'C++', 'Java']",True
['full-time'],"['home office work', 'hybrid work']",['mid'],Wrocław,"['Redis', 'PostgreSQL', 'Microsoft Power BI', 'BigQuery']",,"['Python', 'Docker', 'Google Cloud Platform']",True
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,,,"['Python', 'Microsoft Azure', 'AWS', 'Ansible']",False
['full-time'],['home office work'],['mid'],Warszawa,"['Linux', 'macOS', 'Windows']",,"['Python', 'SQL', 'PostgreSQL']",True
['full-time'],['home office work'],['senior'],Kraków,"['Jenkins', 'Docker', 'Git', 'Marshmallow', 'Firebase']",,"['DynamoDB', 'CloudFormation', 'Pytest', 'Python', 'AWS']",False
['full-time'],['home office work'],['senior'],Wrocław,,,"['Python', 'Git', 'AWS']",False
['full-time'],['full office work'],['mid'],Warszawa,"['PostgreSQL', 'MySQL']",,"['Python', 'Linux']",False
['full-time'],['home office work'],['senior'],Warszawa,,,"['Python', 'Django', 'PostgreSQL', 'REST API']",False
['full-time'],['home office work'],['senior'],Kraków,"['Django', 'Google Cloud Platform']",['macOS'],"['Docker', 'Python', 'Teamcity', 'Ansible', 'K8s']",False
['full-time'],['home office work'],['mid'],Gdańsk,"['Angular', 'HTML', 'CSS']",,"['Python', 'Django', 'Git']",False
['full-time'],['home office work'],['mid'],Warszawa,['SAS'],,"['Python', 'data engineering']",False
['full-time'],['home office work'],['mid'],Kraków,['AWS'],,"['Python', 'SQL']",False
['full-time'],['home office work'],['senior'],Kraków,['Kotlin'],,"['AWS', 'Python', 'SQL', 'Docker']",True
['full-time'],['home office work'],['mid'],Warszawa,['Kafka'],,['Python'],False
['full-time'],"['home office work', 'hybrid work']",['mid'],Wrocław,"['MySQL', 'Cassandra', 'Django', 'PostgreSQL', 'AWS', 'Google Cloud Platform']",,"['Python', 'SQL']",True
['full-time'],['home office work'],['mid'],Bielsko-Biała,,,"['Python', 'SQL']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']","['mid', 'senior']",Warszawa,"['Nginx', 'Apache', 'FastAPI']","['Windows', 'Linux']","['JavaScript', 'HTML', 'Python', 'SQL', 'CSS']",False
['full-time'],['hybrid work'],['mid'],Poznań,,,"['JavaScript', 'Python']",False
[],['full office work'],['trainee'],Warszawa,,,"['Python', 'C#', 'C++', 'Java']",False
['full-time'],['home office work'],['mid'],Warszawa,,,"['PySpark', 'Git', 'GitLab', 'Python', 'Hadoop']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['Informatica PowerCenter', 'ETL', 'Python', 'SQL']",True
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,['Hadoop'],"['Windows', 'Linux']","['PowerShell', 'IBM WebSphere', 'Python', 'Linux', 'Bash', 'Windows Server']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['RabbitMQ', 'Python', 'Jira', 'SQL', 'PostgreSQL', 'Cassandra', 'Oracle', 'Bash', 'Microsoft SQL Server', 'MySQL']",False
['full-time'],['home office work'],['senior'],Kraków,"['Microsoft Azure', 'Google Cloud Platform']",,"['MongoDB', 'Ruby', 'Python', 'Chef', 'Terraform', 'Cassandra', 'Java', 'Kubernetes', 'AWS', 'Bash', 'Ansible']",True
['full-time'],['hybrid work'],['mid'],Warszawa,"['Python', 'UML', 'Java']",,"['BPMN', 'SQL']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Bash', 'Kubernetes', 'Python', 'MySQL']",,"['Elasticsearch', 'PostgreSQL', 'Docker', 'SQL']",False
[],"['home office work', 'hybrid work']",['trainee'],Warszawa,"['Go', 'gerrit', 'Git', 'Docker', 'Cross-Site Scripting', 'containers', 'Python', 'OpenStack', 'RISC-V', 'VM', 'ARM', 'Buffer Overflow', 'Linux']",['Linux'],"['C++', 'C', 'Rust']",False
['full-time'],['hybrid work'],['mid'],Zabierzów (pow. krakowski),"['Jenkins', 'OpenGl', 'Python', 'Boost', 'Windows', 'CMake', 'Conan', 'GTest', 'Clang-Tidy', 'GLSL', 'Linux']","['Windows', 'Linux']","['Git', 'C++', 'STL']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Gdańsk,"['Tomcat', 'Python', 'PostgreSQL', 'Apache ActiveMQ', 'PowerShell', 'CI/CD', 'Bash', 'Perl', 'Red Hat', 'Unix', 'Windows Server']","['Windows', 'Linux']","['Linux', 'Azure', 'Ansible', 'Terraform']",True
['full-time'],"['hybrid work', 'full office work']",['junior'],Poznań,"['Power Automate', '.NET', 'Power Platform', 'Python', 'Microsoft Azure', 'SQL', 'Power Apps']",['Windows'],['UiPath'],False
['full-time'],"['hybrid work', 'full office work']",['senior'],Poznań,"['Power Automate', '.NET', 'Power Platform', 'Python', 'Microsoft Azure', 'SQL', 'Power Apps']",['Windows'],"['UiPath Orchestrator', 'UiPath']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,,,"['Docker', 'Scala', 'Python', 'Envoy', 'AWS', 'Cassandra', 'Kafka', 'Istio', 'Kotlin', 'Java', 'Redshift', 'Microsoft Azure', 'MySQL', 'Google Cloud Platform', 'RabbitMQ', 'Go', 'Kubernetes', 'Snowflake Data Cloud', 'Celery', 'BigQuery']",False
['full-time'],"['home office work', 'hybrid work']","['junior', 'mid']",Warszawa,"['SAS', 'Scala', 'Apache Spark', 'Python', 'Microsoft Power BI', 'Microsoft SQL Server']","['Windows', 'Linux']",['SQL'],False
['full-time'],"['hybrid work', 'full office work']",['senior'],Wrocław,"['T-SQL', 'KQL (KUSTO)', 'DAX', 'Google Big Query', 'Python', 'IBCS', 'Power BI']",,"['SQL', 'Google Analytics']",False
['full-time'],['home office work'],['mid'],Kraków,"['Jenkins', 'CircleCI', 'Docker', 'Python', 'C#', 'Terraform', 'Kotlin', 'Java', 'Elixir', 'GitlabCI', 'Datadog', 'Node.js', 'Golang', 'Kubernetes', 'C++', 'Erlang']",['Windows'],"['DynamoDB', 'Rest', 'TypeScript', 'JavaScript', 'PostgreSQL']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Android Kernel', 'Power Management', 'System On a Chip', 'Linux Kernel', 'Python', 'Rust']",['Linux'],"['Kernel drivers', 'C']",False
"['part time', 'additional / temporary']","['home office work', 'hybrid work', 'full office work']",['junior'],Białystok,,,"['Visual Studio', 'Minecraft', 'Python', 'Unity 3D', 'C#', 'Kali Linux', 'Android Studio', 'Scratch']",False
['full-time'],"['home office work', 'hybrid work']","['mid', 'senior']",Warszawa,"['Python', 'SQL', 'Microsoft Power BI', 'R', 'Tableau', 'TensorFlow', 'AWS', 'Microsoft Azure', 'PyTorch', 'Google Cloud Platform']",['Windows'],"['Business analyses', 'AI']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Włocławek,,,"['PowerApps', '.NET', 'Python', 'C#', 'X++', 'Microsoft SQL Server']",False
['full-time'],['full office work'],['senior'],Warszawa,"['Go', 'Grafana', 'Helm', 'Python', 'VictoriaMetrics', 'Rust', 'Prometheus', 'Loki']",['Linux'],"['MongoDB', 'GitLab', 'PostgreSQL', 'Terraform', 'Saas', 'Kubernetes', 'Linux', 'Google Cloud Platform']",False
['full-time'],['home office work'],['senior'],Wrocław,,,"['Kubernetes', 'Junit', 'Typescript', 'Python', 'Gatling', 'Java', 'Playwright', 'AWS', 'Artillery']",False
['full-time'],['home office work'],['mid'],Kraków,"['Docker', 'Python', 'Puppet', 'Prometheus', 'Terraform', 'Icinga2', 'Kubernetes', 'Bash', 'Podman', 'Ansible']",['Linux'],"['PHP', 'Nginx', 'Exim', 'Apache', 'Varnish', 'Postfix']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,,,"['Apache Spark', 'Apache Airflow', 'Python', 'Snowflake Data Cloud', 'AWS']",False
['full-time'],['full office work'],"['mid', 'senior']",Kraków,,,"['Python', 'PostgreSQL', 'PHP', 'MariaDB', 'Bash', 'Perl', 'C++', 'MySQL']",False
