skills,count
Python,430
SQL,186
C,123
AWS,91
GIT,85
Docker,68
Java,64
Linux,63
Kubernetes,56
Postgres,55
Bash,52
JavaScript,45
Terraform,41
Ansible,38
R,35
Google Cloud,33
Jira,29
Jenkins,28
MySQL,23
Microsoft Azure,23
GitLab,19
PowerShell,17
Oracle,17
Azure DevOps,16
Kafka,15
Spring,15
Typescript,15
Django,15
Spark,14
Pandas,14
Selenium,14
HTML,14
TenserFlow,14
Hadoop,13
CSS,13
PySpark,13
Microsoft Power BI,13
MongoDB,13
REST API,12
Windows Server,12
Scala,12
Shell,12
Azure,11
React,11
Tableau,11
Microsoft Excel,11
Snowflake Data Cloud,11
PyTorch,11
SAS,11
PHP,11
Go,11
CI/CD,10
.NET,10
Microsoft SQL Server,10
Perl,10
VMWare,9
Databrics,9
SVN,9
NO-SQL,8
Grafana,8
RedHat,8
Apache Spark,8
nginx,8
Node.js,8
Elasticsearch,8
BigQuery,8
NoSQL,8
Confluence,7
PowerBI,7
VBA,7
Apache,7
UNIX,7
REST,7
MariaDB,7
Helm,7
Network,6
T-SQL,6
Numpy,6
Splunk,6
Cassandra,6
Ruby,6
Kotlin,6
FastAPI,6
Airflow,6
Teamcity,6
BPMN,6
Github,6
CloudFormation,6
Apache Airflow,6
Prometheus,6
Redis,5
Debian,5
Flask,5
Data Lake,5
Snowflake,5
Vue.js,5
Android,5
Angular,5
Matlab,5
Hive,5
Robot Framework,4
Big Data,4
XML,4
Visual Studio,4
SAP,4
SonarQ,4
Github Actions,4
API,4
Cloud,4
ETL,4
Active Directory,4
HTTP,4
Rust,4
Enterprise Architect,4
CentOS,4
Maven,4
UML,4
Openshift,4
Scikit-learn,4
STL,4
Bitbucket,4
Kibana,3
DAX Studio,3
JUnit,3
Gradle,3
Zabbix,3
Gerrit,3
PyTest,3
Postman,3
DevOps,3
Google Analytics,3
Golang,3
DAX,3
GraphQL,3
Keras,3
Cypress,3
DynamoDB,3
GenAI,3
UiPath,3
GitLab CI/CD,3
Bamboo,3
Qradar,3
OpenStack,3
Dataflow,3
RabbitMQ,3
Travis CI,3
Microsoft IIS,3
AI,2
SharePoint,2
Google Data Studio,2
Tomcat,2
Ubuntu,2
Puppet,2
Playwright,2
OWASP ZAP,2
Cloudflare,2
Business analyses,2
JPA,2
SAP CPQ features,2
Proxmox,2
CircleCI,2
Logstash,2
Snowpark,2
Data Engineer,2
Archimate 3.0,2
LLM,2
Embedded,2
Amazon Redshift,2
Swagger,2
Invicti,2
Zscaler,2
Windows,2
Azure Cosmos DB,2
React Native,2
Redshift,2
Google BigQuery,2
Spring Framework,2
Azure Logic Apps,2
K8s,2
CRM,2
GCP,2
Envoy,2
Nessus,2
TCP/IP,2
Xray,2
HBase,2
Looker,2
Abacus,2
Bicep,2
Kudu,2
Make,2
DWH,2
Behave,2
agile,2
Chef,2
SAN,2
SDLC,1
V4L2,1
LXC,1
PowerAutomate,1
Apache Tomcat,1
MLP,1
Apache Flink,1
Looker Studio,1
SSIS,1
Ruby on Rails,1
PowerPlatform,1
Microservices,1
JAMF,1
Ubuntu Server,1
Test Complete,1
IBM WebSphere,1
Microsoft 365,1
RxJS,1
Kernel drivers,1
Data Pipelines,1
AJAX,1
RHEL,1
rkt,1
Direct Admin,1
spaCy,1
PowerPoint,1
Coroutines,1
M language,1
JDA,1
Kali Linux,1
ServiceNow,1
PBI,1
AML,1
Swift,1
Istio,1
Containers,1
MS Windows,1
Terragrunt,1
RestAssured,1
Sentiel One,1
WebPageTest,1
IdentityNow,1
ALM Toolkit,1
AppDynamics,1
Google Acts,1
JS (Angular,1
integration,1
Blue Yonder,1
API testing,1
Dash,1
Cloud Bigtable,1
Screaming Frog,1
Tabular Editor,1
IaaS,1
Microsoft Project,1
Microsoft Copilot,1
Selenium WebDriver,1
AWS Cloud Services,1
Cloud technologies,1
gRPC,1
JSON,1
Microsoft Entra ID,1
UiPath Orchestrator,1
Page Object Pattern,1
Analytical Thinking,1
SailPoint IdentityIQ,1
Loki,1
Akka,1
Relational Databases,1
GKE,1
Unity Test Framework,1
bazy wektorowe qdrant,1
Google Search Console,1
bazy wektorowe milvus,1
Django Rest Framework,1
MS Office Visual Basic,1
Informatica PowerCenter,1
Java Spring Boot Framework,1
Python visualization stack,1
PostgreSQL Vmware,1
Microsoft Biztalk,1
RDS,1
ASP.NET Core MVC,1
Android Studio,1
Octopus Deploy,1
PWA,1
UI,1
IBM App Connect,1
Troubleshooting,1
Problem Solving,1
ASP.NET Web API,1
SciPy ecosystem,1
Low Level Linux,1
s3,1
Project Reactor,1
Data Governance,1
gRPC-based APIs,1
AMQP,1
Exim,1
Flet,1
Chrome Dev Tools,1
Allure/ Serenity,1
TFS,1
Entity Framework,1
Microsoft Office,1
Network Security,1
ETL applications,1
Okta,1
MacOS,1
Tosca,1
Shiny,1
Pub/Sub,1
VB.NET,1
ETL/ELT,1
Sentry,1
ChatGPT,1
SEMrush,1
Consul,1
Celery,1
LAN/WAN,1
Celary,1
Rancher,1
Varnish,1
Trello,1
Postfix,1
Gatling,1
German,1
Solaris,1
Verilog,1
Kinaxis,1
ASP.NET,1
Pulumi,1
Ahrefs,1
Groovy,1
English,1
SAS 4GL,1
Testing,1
Alfabet,1
Jetpack,1
RPA,1
Gherkin,1
RFP,1
PL/SQL,1
GitOps,1
VPN,1
DB2,1
JEE,1
Podman,1
Aurora,1
DNS,1
SoapUI,1
Appium,1
Presto,1
JQuery,1
Jmeter,1
Dataiku,1
Sybase,1
GCP/AWS,1
Joblib,1
Asyncio,1
Gemini,1
Kinesis,1
Prefect,1
Doobie,1
Mockito,1
XGBoost,1
Jupyter,1
Scratch,1
Lambda,1
Spock,1
Excel,1
Mercurial,1
WordPress,1
Minecraft,1
PowerApps,1
Vault,1
Artillery,1
Databases,1
Front-End,1
Big Table,1
JBoss EAP,1
LangChain,1
WebSocket,1
SSL,1
Polarion,1
Cisco,1
ERP,1
PROXY,1
SQL/NoSQL,1
GA4,1
WebSphere,1
pywinauto,1
Dramaturg,1
AltTester,1
Mosquitto,1
GSC,1
iOS,1
MS Office,1
Dynatrace,1
Qlickview,1
Hibernate,1
Firebase,1
Ethernet,1
InfluxDB,1
Check_MK,1
Elixir,1
KubeEdge,1
SAP HANA,1
Kedro,1
Veeam,1
Robot,1
Slack,1
Mustache,1
Nomad,1
iptables,1
Tizen,1
Bazel,1
Cucumber,1
MLFlo,1
Flink,1
Voila,1
Dataproc,1
X++,1
BDD,1
TLS/mTLS,1
Unity 3D,1
Java Database Connectivity,1
